,Mileage (km),Duration (days),Use intensity (km/day),Average speed(km/h)
0,69971.61,1306.0,53.577036274885145,27.799532
1,188437.58,1165.0,161.74899409871244,26.777618
2,198097.77,1165.0,170.04100053648068,24.97692
3,234307.7,1200.0,195.25641927083333,25.565645
4,206397.58,1164.0,177.31750698024055,23.082815
5,131284.34,966.0,135.9051177536232,25.293867
6,141959.1,1351.0,105.07704940784603,20.697815
7,160664.6,1092.0,147.12874885531136,22.154383
8,145770.4,1305.0,111.70146072796936,25.354733
9,130342.9,1306.0,99.80313816041348,25.480473
10,140360.12,1269.0,110.6068754925138,28.038586
11,241035.4,1205.0,200.02938278008295,25.79607
12,179560.06,957.0,187.62806948798328,25.947454
13,143463.0,954.0,150.38050314465409,27.793798
14,53952.96,955.0,56.495247054973824,35.466057
15,85347.0,784.0,108.8609693877551,26.015762
16,282571.94,1424.0,198.43534936797752,31.433767
17,127781.516,1156.0,110.53764327422144,25.0837
18,156501.73,1163.0,134.56726945399828,26.874538
19,166373.22,1165.0,142.8096298283262,27.046515
20,170053.25,1306.0,130.20922664624808,26.499306
21,148520.34,1306.0,113.72154957886676,23.344286
22,180935.1,917.0,197.3119888222465,24.490112
23,165012.64,848.0,194.59037809551887,27.289688
24,121330.29,908.0,133.6236663683921,23.989279
25,216775.53,982.0,220.74901349287168,29.629652
26,111429.5,955.0,116.68010471204188,26.575005
27,106400.766,783.0,135.888589559387,26.045002
28,153517.97,1163.0,132.00169282029233,24.964151
29,151770.17,1163.0,130.49885801805675,26.854872
30,110659.984,1129.0,98.01592947298494,19.773005
31,251889.47,1204.0,209.210522217608,26.04612
32,84624.11,955.0,88.61163285340314,28.358925
33,166077.78,1336.0,124.30971650449102,25.419674
34,173591.1,1212.0,143.22697504125412,25.370039
35,161150.4,956.0,168.5673705543933,24.992317
36,163588.6,783.0,208.9254070881226,22.401627
37,125684.11,863.0,145.63627969293162,23.271265
38,55587.6,795.0,69.92151139937107,22.184395
39,153449.6,1165.0,131.71638948497855,26.072886
40,28454.559,501.0,56.79552613522954,24.38135
41,146607.78,1306.0,112.25710662327718,25.65946
42,159815.0,1327.0,120.43330821401658,25.918972
43,133946.9,1306.0,102.56271535222052,27.707262
44,166964.03,858.0,194.596773018648,31.025833
45,173330.34,1164.0,148.90923002577318,26.973274
46,67745.016,805.0,84.15529891304348,24.423986
47,127958.15,1306.0,97.97714275459418,25.490337
48,182206.39,1165.0,156.4003353004292,20.650091
49,163282.67,958.0,170.44120237473905,23.418455
50,191567.78,956.0,200.38470842050208,28.35779
51,173549.12,1164.0,149.09718642611685,28.307549
52,140682.05,1134.0,124.0582423941799,28.041393
53,174874.1,1166.0,149.97778194682675,24.81696
54,124543.9,1306.0,95.36286250957122,24.645418
55,125695.0,1118.0,112.42844364937388,24.488628
56,194366.78,1203.0,161.56839671654197,24.613178
57,313601.25,1204.0,260.46615448504986,26.14463
58,97378.6,1198.0,81.28430848288815,26.555233
59,233985.0,1203.0,194.50124688279303,26.600195
60,168580.4,958.0,175.97119650313152,27.241423
61,120197.086,956.0,125.72916939069036,23.778938
62,163797.77,954.0,171.69577109538784,25.405401
63,270627.56,1423.0,190.1809996486297,23.48058
64,157347.17,1305.0,120.5725454980843,26.829422
65,145101.4,1164.0,124.65756550687286,29.40813
66,167297.25,1306.0,128.0989663093415,27.035473
67,188007.31,1164.0,161.51830970790377,27.24075
68,167717.9,1130.0,148.42292588495576,28.670773
69,133138.69,1306.0,101.9438648545176,24.171347
70,106378.77,1164.0,91.39069882946735,23.51904
71,150009.33,1165.0,128.7633717811159,27.148266
72,196825.31,1106.0,177.96140370705243,23.712456
73,166472.39,1202.0,138.4961652454243,24.102785
74,128524.86,916.0,140.3109818504367,24.61301
75,193158.0,956.0,202.0481171548117,27.825298
76,156032.28,956.0,163.21368331589957,26.34685
77,140979.66,1329.0,106.07950056433408,25.87318
78,189416.53,1306.0,145.0356288284839,28.062601
79,207505.5,1306.0,158.88629402756507,26.697472
80,158929.58,1306.0,121.69186686447166,25.97214
81,155342.47,1165.0,133.34117489270386,29.201626
82,260784.1,1194.0,218.41213881909547,24.99172
83,224132.12,1203.0,186.31099334995844,23.873901
84,145771.5,955.0,152.64031413612565,27.194185
85,144462.67,979.0,147.5614625893769,25.572332
86,118115.04,782.0,151.0422494405371,26.554438
87,124584.086,1164.0,107.0310016645189,26.770775
88,118215.79,1304.0,90.6562799559049,24.455822
89,96537.016,1306.0,73.91808240811639,25.553001
90,114985.125,1271.0,90.46823367427224,27.81787
91,239417.1,1306.0,183.3208987366003,35.681576
92,153234.1,1205.0,127.16522302904563,21.921436
93,170618.75,1205.0,141.5923236514523,24.18567
94,159094.72,956.0,166.41706982217573,30.340246
95,216918.03,957.0,226.66460945663533,25.026691
96,44370.5,964.0,46.02748962655602,28.671667
97,99409.78,857.0,115.9974110268378,25.726858
