,x,Partial charging capacity (Ah)
0,20.0,114.89511111111112
1,68.5,86.84222222222222
2,106.5,84.00340277777778
3,142.5,93.12375
4,181.0,95.81858333333334
5,215.5,36.33888888888889
6,246.5,91.62777777777778
7,293.5,42.56666666666667
8,331.0,96.22777777777777
9,376.0,105.99166666666666
10,412.5,37.21666666666667
11,446.5,99.42158333333333
12,488.0,98.15819444444445
13,527.0,48.8125
14,561.5,68.89722222222223
15,594.5,42.272083333333335
16,631.0,82.77763888888889
17,669.0,51.14861111111111
18,704.0,58.056111111111115
19,737.0,74.3875
20,771.0,69.87847222222223
21,807.0,87.79013888888889
22,843.5,92.22666666666667
23,877.5,45.729166666666664
24,921.0,89.20972222222223
25,968.5,76.73472222222222
26,998.5,66.35138888888889
27,1034.5,97.29013888888889
28,1072.5,88.5875
29,1097.0,77.87361111111112
30,1139.0,115.76094444444443
31,1188.5,95.59683333333332
32,1225.0,89.46111111111111
33,1256.5,55.22901388888889
34,1287.0,87.61694444444444
35,1319.5,69.93458333333334
36,1358.5,98.757
37,1398.5,65.23611111111111
38,1433.5,118.98425
39,1468.5,74.10138888888889
40,1501.0,46.263888888888886
41,1533.5,58.41869444444445
42,1566.5,64.30491666666667
43,1603.0,102.5875
44,1643.5,63.62097222222222
45,1688.0,109.01808333333332
46,1742.5,137.2736111111111
