Capacity labels,Discharge capacity,Error
56.10808307440723,55.726480055562334,0.3816030188448991
56.160814858887434,55.66804911111809,0.49276574776934723
56.06760055310585,55.56840188889522,0.4991986642106312
56.04499389915731,55.72636208333996,0.3186318158173549
56.23051662206592,55.809851222229184,0.4206653998367358
55.97360453288075,55.71816291667335,0.25544161620739914
55.92659076383168,55.72641030556245,0.20018045826923014
56.027865263996446,55.76805627778407,0.25980898621237714
55.87108847019175,55.69321925000626,0.17786922018549234
55.96824377078368,55.59877452778137,0.36946924300230677
55.76536723852213,55.51630322222645,0.24906401629568364
55.893056168597354,55.38312222222665,0.5099339463707011
56.04731493864562,55.641758666670526,0.4055562719750938
55.92079534590035,55.48276772222613,0.4380276236742233
55.78481918846994,55.59084488889313,0.19397429957680856
54.79525916636242,54.967257527781946,-0.17199836141952574
55.81628210620724,55.459836472229306,0.35644563397793405
56.100098818370626,55.61796113889596,0.48213767947466835
55.152647637510185,55.22681794445148,-0.07417030694129778
54.54338122182709,54.8356721666736,-0.2922909448465063
